AGI	object name	GO term	GO ID	Aspect	GOslim term
AT4G00030	AT4G00030.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00070	AT4G00070.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00080	AT4G00080.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00130	AT4G00130.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00160	AT4G00160.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00170	AT4G00170.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00200	AT4G00200.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00220	AT4G00220.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00231	AT4G00231.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00232	AT4G00232.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00234	AT4G00234.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00238	AT4G00238.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00250	AT4G00250.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00270	AT4G00270.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00280	AT4G00280.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00300	AT4G00300.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00310	AT4G00310.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00320	AT4G00320.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00355	AT4G00355.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00380	AT4G00380.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00416	AT4G00416.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00420	AT4G00420.2	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00460	AT4G00460.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00510	AT4G00510.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00530	AT4G00530.1	biological process unknown	GO:0000004	proc	biological process unknown
AT4G00640	AT4G00640.1	biological process unknown	GO:0000004	proc	biological process unknown
