AGI	object name	GO term	GO ID	Aspect	GOslim term
AT2G01026	AT2G01026.1	RNA-directed DNA polymerase activity	GO:0003964	func	transferase activity
AT2G01034	AT2G01034.1	RNA-directed DNA polymerase activity	GO:0003964	func	transferase activity
AT2G01060	AT2G01060.2	transcription factor activity	GO:0003700	func	transcription factor activity
AT2G01060	AT2G01060.1	nucleus	GO:0005634	comp	nucleus
AT2G01060	AT2G01060.1	regulation of transcription	GO:0045449	proc	other physiological processes
AT2G01070	AT2G01070.1	biological process unknown	GO:0000004	proc	biological process unknown
AT2G01070	AT2G01070.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT2G01070	AT2G01070.1	endomembrane system	GO:0012505	comp	other membranes
AT2G01080	AT2G01080.1	biological process unknown	GO:0000004	proc	biological process unknown
AT2G01080	AT2G01080.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT2G01080	AT2G01080.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT2G01090	AT2G01090.1	respiratory chain complex III (sensu Eukaryota)	GO:0005750	comp	other intracellular components
AT2G01090	AT2G01090.1	"mitochondrial electron transport, ubiquinol to cytochrome c"	GO:0006122	proc	electron transport or energy pathways
AT2G01090	AT2G01090.1	ubiquinol-cytochrome-c reductase activity	GO:0008121	func	other enzyme activity
AT2G01100	AT2G01100.3	biological process unknown	GO:0000004	proc	biological process unknown
AT2G01100	AT2G01100.3	molecular function unknown	GO:0005554	func	molecular function unknown
AT2G01100	AT2G01100.3	cellular component unknown	GO:0008372	comp	cellular component unknown
AT2G01110	AT2G01110.1	chloroplast	GO:0009507	comp	chloroplast
AT2G01110	APG2	delta-pH-dependent transporter activity	GO:0009977	func	transporter activity
AT2G01110	APG2	thylakoid membrane organization and biogenesis	GO:0010027	proc	cell organization and biogenesis
AT2G01120	AT2G01120.1	origin recognition complex	GO:0000808	comp	other intracellular components
AT2G01120	AT2G01120.1	protein binding	GO:0005515	func	protein binding
AT2G01120	AT2G01120.1	DNA replication	GO:0006260	proc	DNA or RNA metabolism
AT2G01130	AT2G01130.1	biological process unknown	GO:0000004	proc	biological process unknown
AT2G01130	AT2G01130.1	nucleic acid binding	GO:0003676	func	nucleic acid binding
AT2G01130	AT2G01130.1	helicase activity	GO:0004386	func	other enzyme activity
AT2G01130	AT2G01130.1	ATP binding	GO:0005524	func	nucleotide binding
AT2G01130	AT2G01130.1	intracellular	GO:0005622	comp	other intracellular components
AT2G01130	AT2G01130.1	mitochondrion	GO:0005739	comp	mitochondria
AT2G01140	AT2G01140.1	fructose-bisphosphate aldolase activity	GO:0004332	func	other enzyme activity
AT2G01140	AT2G01140.1	mitochondrion	GO:0005739	comp	mitochondria
AT2G01140	AT2G01140.1	pentose-phosphate shunt	GO:0006098	proc	electron transport or energy pathways
AT2G01140	AT2G01140.1	response to oxidative stress	GO:0006979	proc	other physiological processes
AT2G01140	AT2G01140.1	chloroplast	GO:0009507	comp	chloroplast
AT2G01150	RHA2B	ubiquitin-protein ligase activity	GO:0004842	func	other enzyme activity
AT2G01150	AT2G01150.1	protein binding	GO:0005515	func	protein binding
AT2G01150	AT2G01150.1	zinc ion binding	GO:0008270	func	other binding
AT2G01170	AT2G01170.2	transport	GO:0006810	proc	transport
AT2G01170	AT2G01170.2	amino acid transport	GO:0006865	proc	transport
AT2G01170	AT2G01170.1	amino acid permease activity	GO:0015359	func	transporter activity
AT2G01170	AT2G01170.2	membrane	GO:0016020	comp	other membranes
AT2G01170	AT2G01170.2	integral to membrane	GO:0016021	comp	other cellular components
AT2G01180	ATPAP1	integral to plasma membrane	GO:0005887	comp	other cellular components
AT2G01180	ATPAP1	phospholipid metabolism	GO:0006644	proc	other physiological processes
AT2G01180	ATPAP1	response to stress	GO:0006950	proc	response to stress
AT2G01180	AT2G01180.2	phosphatidate phosphatase activity	GO:0008195	func	hydrolase activity
AT2G01190	AT2G01190.1	chloroplast	GO:0009507	comp	chloroplast
AT2G01210	AT2G01210.1	protein serine/threonine kinase activity	GO:0004674	func	transferase activity
AT2G01210	AT2G01210.1	ATP binding	GO:0005524	func	nucleotide binding
AT2G01210	AT2G01210.1	protein amino acid phosphorylation	GO:0006468	proc	other physiological processes
AT2G01210	AT2G01210.1	transmembrane receptor protein tyrosine kinase signaling pathway	GO:0007169	proc	signal transduction
AT2G01210	AT2G01210.1	cell wall (sensu Magnoliophyta)	GO:0009505	comp	cell wall
AT2G01210	AT2G01210.1	kinase activity	GO:0016301	func	kinase activity
AT2G01220	AT2G01220.2	cellular component unknown	GO:0008372	comp	cellular component unknown
AT2G01240	AT2G01240.1	biological process unknown	GO:0000004	proc	biological process unknown
AT2G01240	AT2G01240.1	endoplasmic reticulum	GO:0005783	comp	ER
