AGI	object name	GO term	GO ID	Aspect	GOslim term
AT5G01015	AT5G01015.1	endomembrane system	GO:0012505	comp	other cellular components
AT5G01015	AT5G01015	molecular_function	GO:0003674	func	unknown molecular functions
AT5G01015	AT5G01015	biological_process	GO:0008150	proc	unknown biological processes
AT5G01020	AT5G01020.1	plasma membrane	GO:0005886	comp	plasma membrane
AT5G01020	AT5G01020.1	ATP binding	GO:0005524	func	nucleotide binding
AT5G01020	AT5G01020.1	protein kinase activity	GO:0004672	func	kinase activity
AT5G01020	AT5G01020.1	protein kinase activity	GO:0004672	func	transferase activity
AT5G01020	AT5G01020.1	protein serine/threonine kinase activity	GO:0004674	func	kinase activity
AT5G01020	AT5G01020.1	protein serine/threonine kinase activity	GO:0004674	func	transferase activity
AT5G01020	AT5G01020.1	N-terminal protein myristoylation	GO:0006499	proc	protein metabolism
AT5G01020	AT5G01020.1	N-terminal protein myristoylation	GO:0006499	proc	other cellular processes
AT5G01020	AT5G01020.1	N-terminal protein myristoylation	GO:0006499	proc	other metabolic processes
AT5G01020	AT5G01020.1	protein amino acid phosphorylation	GO:0006468	proc	protein metabolism
AT5G01020	AT5G01020.1	protein amino acid phosphorylation	GO:0006468	proc	other cellular processes
AT5G01020	AT5G01020.1	protein amino acid phosphorylation	GO:0006468	proc	other metabolic processes
AT5G01020	AT5G01020	kinase activity	GO:0016301	func	kinase activity
AT5G01030	AT5G01030	cellular_component	GO:0005575	comp	unknown cellular components
AT5G01030	AT5G01030	molecular_function	GO:0003674	func	unknown molecular functions
AT5G01030	AT5G01030	biological_process	GO:0008150	proc	unknown biological processes
AT5G01040	AT5G01040.1	endomembrane system	GO:0012505	comp	other cellular components
AT5G01040	AT5G01040.1	apoplast	GO:0048046	comp	extracellular
AT5G01040	AT5G01040	laccase activity	GO:0008471	func	other enzyme activity
AT5G01040	AT5G01040	vegetative to reproductive phase transition	GO:0010228	proc	developmental processes
AT5G01050	AT5G01050.1	endomembrane system	GO:0012505	comp	other cellular components
AT5G01050	AT5G01050.1	lignin catabolic process	GO:0046274	proc	other cellular processes
AT5G01050	AT5G01050.1	lignin catabolic process	GO:0046274	proc	other metabolic processes
AT5G01050	AT5G01050.1	apoplast	GO:0048046	comp	extracellular
AT5G01050	AT5G01050.1	oxidation reduction	GO:0055114	proc	other metabolic processes
AT5G01050	AT5G01050	laccase activity	GO:0008471	func	other enzyme activity
AT5G01060	AT5G01060.1	ATP binding	GO:0005524	func	nucleotide binding
AT5G01060	AT5G01060.1	binding	GO:0005488	func	other binding
AT5G01060	AT5G01060.1	protein kinase activity	GO:0004672	func	kinase activity
AT5G01060	AT5G01060.1	protein kinase activity	GO:0004672	func	transferase activity
AT5G01060	AT5G01060.1	N-terminal protein myristoylation	GO:0006499	proc	protein metabolism
AT5G01060	AT5G01060.1	N-terminal protein myristoylation	GO:0006499	proc	other cellular processes
AT5G01060	AT5G01060.1	N-terminal protein myristoylation	GO:0006499	proc	other metabolic processes
AT5G01060	AT5G01060.1	protein amino acid phosphorylation	GO:0006468	proc	protein metabolism
AT5G01060	AT5G01060.1	protein amino acid phosphorylation	GO:0006468	proc	other cellular processes
AT5G01060	AT5G01060.1	protein amino acid phosphorylation	GO:0006468	proc	other metabolic processes
AT5G01060	AT5G01060	cellular_component	GO:0005575	comp	unknown cellular components
AT5G01060	AT5G01060	kinase activity	GO:0016301	func	kinase activity
AT5G01070	AT5G01070.1	zinc ion binding	GO:0008270	func	other binding
AT5G01070	AT5G01070	protein binding	GO:0005515	func	protein binding
AT5G01070	AT5G01070	zinc ion binding	GO:0008270	func	other binding
AT5G01070	AT5G01070.2	zinc ion binding	GO:0008270	func	other binding
AT5G01075	AT5G01075.1	beta-galactosidase complex	GO:0009341	comp	other cellular components
AT5G01075	AT5G01075.1	beta-galactosidase activity	GO:0004565	func	hydrolase activity
AT5G01075	AT5G01075.1	carbohydrate metabolic process	GO:0005975	proc	other metabolic processes
AT5G01075	AT5G01075.1	endomembrane system	GO:0012505	comp	other cellular components
AT5G01080	AT5G01080.1	beta-galactosidase complex	GO:0009341	comp	other cellular components
AT5G01080	AT5G01080.1	beta-galactosidase activity	GO:0004565	func	hydrolase activity
AT5G01080	AT5G01080.1	carbohydrate metabolic process	GO:0005975	proc	other metabolic processes
AT5G01090	AT5G01090.1	sugar binding	GO:0005529	func	other binding
AT5G01090	AT5G01090.1	endomembrane system	GO:0012505	comp	other cellular components
AT5G01090	AT5G01090	biological_process	GO:0008150	proc	unknown biological processes
AT5G01090	AT5G01090	carbohydrate binding	GO:0030246	func	other binding
AT5G01100	AT5G01100	molecular_function	GO:0003674	func	unknown molecular functions
AT5G01100	AT5G01100	biological_process	GO:0008150	proc	unknown biological processes
AT5G01110	AT5G01110.1	chloroplast	GO:0009507	comp	chloroplast
AT5G01120	AT5G01120	cellular_component	GO:0005575	comp	unknown cellular components
AT5G01130	AT5G01130	cellular_component	GO:0005575	comp	unknown cellular components
AT5G01130	AT5G01130	molecular_function	GO:0003674	func	unknown molecular functions
AT5G01130	AT5G01130	biological_process	GO:0008150	proc	unknown biological processes
AT5G01140	AT5G01140	cellular_component	GO:0005575	comp	unknown cellular components
AT5G01140	AT5G01140	molecular_function	GO:0003674	func	unknown molecular functions
AT5G01140	AT5G01140	biological_process	GO:0008150	proc	unknown biological processes
AT5G01150	AT5G01150	cellular_component	GO:0005575	comp	unknown cellular components
AT5G01150	AT5G01150	molecular_function	GO:0003674	func	unknown molecular functions
AT5G01150	AT5G01150	biological_process	GO:0008150	proc	unknown biological processes
AT5G01160	AT5G01160.1	intracellular	GO:0005622	comp	other intracellular components
AT5G01160	AT5G01160.1	protein binding	GO:0005515	func	protein binding
AT5G01160	AT5G01160.1	zinc ion binding	GO:0008270	func	other binding
AT5G01160	AT5G01160	biological_process	GO:0008150	proc	unknown biological processes
AT5G01170	AT5G01170	cellular_component	GO:0005575	comp	unknown cellular components
