AGI	object name	GO term	GO ID	Aspect	GOslim term
AT1G01010	AT1G01010.1	transcription factor activity	GO:0003700	func	transcription factor activity
AT1G01010	AT1G01010.1	development	GO:0007275	proc	developmental processes
AT1G01010	AT1G01010.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01030	AT1G01030.1	transcription factor activity	GO:0003700	func	transcription factor activity
AT1G01030	AT1G01030.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01030	AT1G01030.1	flower development	GO:0009908	proc	developmental processes
AT1G01030	AT1G01030.1	regulation of transcription	GO:0045449	proc	other physiological processes
AT1G01030	AT1G01030.1	leaf development	GO:0048366	proc	developmental processes
AT1G01040	DCL1	cytokinesis	GO:0000910	proc	other physiological processes
AT1G01040	DCL1	double-stranded RNA binding	GO:0003725	func	DNA or RNA binding
AT1G01040	AT1G01040.1	ribonuclease III activity	GO:0004525	func	hydrolase activity
AT1G01040	DCL1	protein binding	GO:0005515	func	protein binding
AT1G01040	DCL1	nucleus	GO:0005634	comp	nucleus
AT1G01040	DCL1	RNA processing	GO:0006396	proc	other physiological processes
AT1G01040	AT1G01040.1	ATP-dependent helicase activity	GO:0008026	func	other enzyme activity
AT1G01040	DCL1	embryonic pattern specification	GO:0009880	proc	developmental processes
AT1G01040	AT1G01040.1	flower development	GO:0009908	proc	developmental processes
AT1G01040	DCL1	suspensor development	GO:0010098	proc	developmental processes
AT1G01040	DCL1	vegetative to reproductive phase transition	GO:0010228	proc	developmental processes
AT1G01040	DCL1	primary microRNA processing	GO:0031053	proc	other physiological processes
AT1G01040	DCL1	"miRNA-mediated gene silencing, mRNA cleavage"	GO:0035279	proc	other physiological processes
AT1G01050	AT1G01050.1	nucleus	GO:0005634	comp	nucleus
AT1G01050	AT1G01050.1	cytoplasm	GO:0005737	comp	other cytoplasmic components
AT1G01050	AT1G01050.1	metabolism	GO:0008152	proc	other metabolic processes
AT1G01050	AT1G01050.1	membrane	GO:0016020	comp	other membranes
AT1G01050	AT1G01050.1	pyrophosphatase activity	GO:0016462	func	hydrolase activity
AT1G01060	AT1G01060.3	DNA binding	GO:0003677	func	DNA or RNA binding
AT1G01060	AT1G01060.2	transcription factor activity	GO:0003700	func	transcription factor activity
AT1G01060	AT1G01060.3	nucleus	GO:0005634	comp	nucleus
AT1G01060	AT1G01060.1	response to salt stress	GO:0009651	proc	response to abiotic or biotic stimulus
AT1G01060	AT1G01060.1	response to ethylene stimulus	GO:0009723	proc	other biological processes
AT1G01060	AT1G01060.1	response to auxin stimulus	GO:0009733	proc	other biological processes
AT1G01060	AT1G01060.1	response to abscisic acid stimulus	GO:0009737	proc	other biological processes
AT1G01060	AT1G01060.1	response to gibberellic acid stimulus	GO:0009739	proc	other biological processes
AT1G01060	AT1G01060.1	response to salicylic acid stimulus	GO:0009751	proc	other biological processes
AT1G01060	AT1G01060.1	response to jasmonic acid stimulus	GO:0009753	proc	other biological processes
AT1G01060	LHY	regulation of circadian rhythm	GO:0042752	proc	other physiological processes
AT1G01060	AT1G01060.1	regulation of transcription	GO:0045449	proc	other physiological processes
AT1G01060	AT1G01060.1	response to cadmium ion	GO:0046686	proc	other biological processes
AT1G01070	AT1G01070.2	membrane	GO:0016020	comp	other membranes
AT1G01080	AT1G01080.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01080	AT1G01080.2	RNA binding	GO:0003723	func	DNA or RNA binding
AT1G01080	AT1G01080.2	chloroplast	GO:0009507	comp	chloroplast
AT1G01090	AT1G01090.1	pyruvate dehydrogenase (acetyl-transferring) activity	GO:0004739	func	other enzyme activity
AT1G01090	AT1G01090.1	metabolism	GO:0008152	proc	other metabolic processes
AT1G01090	AT1G01090.1	chloroplast	GO:0009507	comp	chloroplast
AT1G01100	AT1G01100.2	structural constituent of ribosome	GO:0003735	func	structural molecule activity
AT1G01100	AT1G01100.2	ribosome	GO:0005840	comp	ribosome
AT1G01100	AT1G01100.2	translational elongation	GO:0006414	proc	other physiological processes
AT1G01110	AT1G01110.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01110	AT1G01110.1	mitochondrion	GO:0005739	comp	mitochondria
AT1G01120	AT1G01120.1	very-long-chain fatty acid metabolism	GO:0000038	proc	other physiological processes
AT1G01120	AT1G01120.1	acyltransferase activity	GO:0008415	func	transferase activity
AT1G01120	KCS1	fatty acid elongase activity	GO:0009922	func	transferase activity
AT1G01120	KCS1	wax biosynthesis	GO:0010025	proc	other physiological processes
AT1G01120	KCS1	membrane	GO:0016020	comp	other membranes
AT1G01120	AT1G01120.1	fatty acid elongation	GO:0030497	proc	other physiological processes
AT1G01120	AT1G01120.1	cuticle biosynthesis	GO:0042335	proc	other metabolic processes
AT1G01130	AT1G01130.1	biological process unknown	GO:0000004	proc	biological process unknown
AT1G01130	AT1G01130.1	molecular function unknown	GO:0005554	func	molecular function unknown
AT1G01130	AT1G01130.1	cellular component unknown	GO:0008372	comp	cellular component unknown
AT1G01140	AT1G01140.2	mitochondrion	GO:0005739	comp	mitochondria
AT1G01140	AT1G01140.2	protein amino acid phosphorylation	GO:0006468	proc	other physiological processes
AT1G01140	AT1G01140.2	signal transduction	GO:0007165	proc	signal transduction
AT1G01140	AT1G01140.2	kinase activity	GO:0016301	func	kinase activity
